Staff_id,First_Name,Last_Name,Gender,Age,Email,Phone,Salary,Location_id,
13456,Sofia,Murray,Female,25,s.murray@randatmail.com,448-5468-06,6583,1,
24566,Amber,Andrews,Female,28,a.andrews@randatmail.com,980-7843-89,8988,1,
35767,Ted,Phillips,Male,25,t.phillips@randatmail.com,330-3399-01,1224,1,
46478,Maximilian,Cooper,Male,18,m.cooper@randatmail.com,399-6917-62,2520,1,
57689,Daniel,Kelly,Male,23,d.kelly@randatmail.com,610-8485-51,3546,1,
69700,Cadie,Davis,Female,20,c.davis@randatmail.com,403-8197-85,1804,1,
80151,Cadie,Riley,Female,18,c.riley@randatmail.com,452-2601-91,2330,1,
91622,Ted,Crawford,Male,18,t.crawford@randatmail.com,321-7831-15,4449,1,
10233,Maria,Morris,Female,21,m.morris@randatmail.com,598-1928-83,9837,2,
11344,Julia,Armstrong,Female,26,j.armstrong@randatmail.com,036-3031-46,7597,1,
12455,Vanessa,Carroll,Female,20,v.carroll@randatmail.com,385-5030-37,1969,1,
13566,Aldus,Hawkins,Male,26,a.hawkins@randatmail.com,313-6343-08,2442,1,
14677,Leonardo,Allen,Male,27,l.allen@randatmail.com,190-6915-05,1972,4,
15788,Nicole,Taylor,Female,23,n.taylor@randatmail.com,395-1466-12,9116,1,
16899,Annabella,Ellis,Female,30,a.ellis@randatmail.com,762-9167-07,2763,1,
18010,Oscar,Dixon,Male,20,o.dixon@randatmail.com,428-7994-54,1951,1,
19121,April,Baker,Female,22,a.baker@randatmail.com,375-0234-78,7839,1,
20232,Carlos,Scott,Male,29,c.scott@randatmail.com,841-1624-95,6529,4,
21343,Frederick,Elliott,Male,26,f.elliott@randatmail.com,493-6342-82,8147,1,
22454,Sarah,Harper,Female,19,s.harper@randatmail.com,970-2379-20,2862,1,
23565,Nicholas,Johnson,Male,27,n.johnson@randatmail.com,971-6193-73,4240,3,
24676,Michelle,Allen,Female,19,m.allen@randatmail.com,748-4495-02,1774,1,
25787,Stella,Parker,Female,25,s.parker@randatmail.com,863-5304-21,1437,3,
26898,Preston,Douglas,Male,29,p.douglas@randatmail.com,244-3206-05,4597,1,
28009,Ned,Farrell,Male,25,n.farrell@randatmail.com,128-0722-69,737,1,
29120,Sabrina,Spencer,Female,21,s.spencer@randatmail.com,104-3548-00,7395,1,
30231,Lucia,Riley,Female,20,l.riley@randatmail.com,378-9195-30,9651,1,
31342,Jared,Roberts,Male,22,j.roberts@randatmail.com,529-2779-22,7441,1,
32453,Reid,Williams,Male,24,r.williams@randatmail.com,931-4885-07,8960,2,
33564,Amelia,Morris,Female,25,a.morris@randatmail.com,865-3484-61,6743,3,
34675,Cherry,Adams,Female,22,c.adams@randatmail.com,915-1327-51,4794,4,
35786,Lucas,Phillips,Male,29,l.phillips@randatmail.com,118-8445-79,5270,5,
36897,Alberta,Hawkins,Female,25,a.hawkins@randatmail.com,816-4525-60,7915,1,
38008,April,Cooper,Female,26,a.cooper@randatmail.com,850-3478-28,1400,2,
39119,Harold,Johnson,Male,21,h.johnson@randatmail.com,541-4686-40,7033,3,
40230,Oliver,Roberts,Male,21,o.roberts@randatmail.com,336-3321-28,9476,4,
41341,Tess,Morris,Female,28,t.morris@randatmail.com,780-4537-25,2351,5,
42452,Kimberly,Cunningham,Female,21,k.cunningham@randatmail.com,792-6673-87,7959,1,
43563,Joyce,Barrett,Female,22,j.barrett@randatmail.com,984-8716-02,7963,2,
44674,Cherry,Rogers,Female,24,c.rogers@randatmail.com,374-9657-68,7999,3,
45785,Sabrina,Turner,Female,18,s.turner@randatmail.com,361-8720-34,4355,5,
46896,Grace,Hawkins,Female,18,g.hawkins@randatmail.com,784-6391-42,9971,4,
48007,Lucas,West,Male,28,l.west@randatmail.com,453-3178-01,9054,1,
49118,Chester,Edwards,Male,21,c.edwards@randatmail.com,589-3163-74,3108,2,
50229,Miller,Brooks,Male,19,m.brooks@randatmail.com,743-1390-22,8319,1,
51340,April,Fowler,Female,30,a.fowler@randatmail.com,877-3137-49,6850,1,
52451,Maria,Farrell,Female,20,m.farrell@randatmail.com,249-8192-59,4136,4,
53562,Daryl,Tucker,Male,22,d.tucker@randatmail.com,858-3356-20,4623,1,
54673,Oliver,Walker,Male,27,o.walker@randatmail.com,158-1049-03,8952,1,
